<sil>	SIL	sil
無比	ムヒ	m u h i
パパ	パパ	p a p a
パブ	パブ	p a b u
躄っ	イザッ	i z a q
ワム	ワム	w a m u
受話	ジュワ	j u w a
安吾	アンゴ	a ng g o
ロケ	ロケ	r o k e
暗夜	アンヤ	a ng y a
俊恵	シュンエ	sh u ng e
レポ	レポ	r e p o
レテ	レテ	r e t e
抉っ	エグッ	e g u q
祷っ	イノッ	i n o q
飯豊	イイデ	i i d e
江尾	エノオ	e n o o
野田	ノタ	n o t a
座波	ザハ	z a h a
家野	イエノ	i e n o
議案	ギアン	g i a ng
津瀬	ツゼ	ts u z e
青部	アオベ	a o b e
ヤヘ	ヤヘ	y a h e
存意	ゾンイ	z o ng i
越訴	エッソ	e q s o
手間	テマ	t e m a
下女	ゲジョ	g e j o
メヨ	メヨ	m e y o
嘶え	イバエ	i b a e
襲お	オソオ	o s o o
寧々	ネネ	n e n e
墓地	ボチ	b o ch i
理非	リヒ	r i h i
美酒	ビシュ	b i sh u
児湯	コユ	k o y u
入尾	イリオ	i r i o
お伝	オデン	o d e ng
奪っ	ウバッ	u b a q
喘げ	アエゲ	a e g e
衣紋	エモン	e m o ng
ベト	ベト	b e t o
愚者	グシャ	g u sh a
音韻	オンイン	o ng i ng
負えれ	オエレ	o e r e
デュオ	デュオ	d y u o
売りゃ	ウリャ	u r y a
エリー	エリー	e r i long
ピュア	ピュア	p y u a
ガーン	ガーン	g a long ng
行きゃ	イキャ	i k y a
阿津江	アヅエ	a z u e
めいっ	メイッ	m e i q
ベアー	ベアー	b e a long
ツアー	ツアー	ts u a long
あじっ	アジッ	a j i q
ビュッ	ビュッ	b y u q
ボーッ	ボーッ	b o long q
安部居	アベイ	a b e i
喜屋武	キャン	k y a ng
なぁー	ナァー	n a a long
笑みゃ	エミャ	e m y a
ヒュー	ヒュー	h y u long
井手尾	イデオ	i d e o
おぶお	オブオ	o b u o
っぽい	ッポイ	q p o i
メーン	メーン	m e long ng
出あえ	デアエ	d e a e
タウン	タウン	t a u ng
エトー	エトー	e t o long
ゾーン	ゾーン	z o long ng
あびん	アビン	a b i ng
あふっ	アフッ	a f u q
エッチ	エッチ	e q ch i
ぎゃあ	ギャア	g y a a
江和井	エワイ	e w a i
エッグ	エッグ	e q g u
ルファ	ルファ	r u f a
エーゲ	エーゲ	e long g e
レオン	レオン	r e o ng
スーッ	スーッ	s u long q
絵取っ	エドッ	e d o q
ワーッ	ワーッ	w a long q
おいど	オイド	o i d o
アイモ	アイモ	a i m o
居食い	イグイ	i g u i
エース	エース	e long s u
えーと	エート	e long t o
へーっ	ヘーッ	h e long q
うーむ	ウーム	u long m u
へえー	ヘエー	h e e long
いみい	イミイ	i m i i
アピア	アピア	a p i a
せおっ	セオッ	s e o q
ジュペ	ジュペ	j u p e
オーラ	オーラ	o long r a
ジャズ	ジャズ	j a z u
あえみ	アエミ	a e m i
ジェフ	ジェフ	j e f u
アロー	アロー	a r o long
いやー	イヤー	i y a long
シーン	シーン	sh i long ng
伊兵衛	イヘエ	i h e e
海老江	エビエ	e b i e
オンス	オンス	o ng s u
ウッド	ウッド	u q d o
宇治会	ウジエ	u j i e
イーダ	イーダ	i long d a
オッズ	オッズ	o q z u
ジューン	ジューン	j u long ng
ファイア	ファイア	f a i a
オッツェ	オッツェ	o q ts e
ディアー	ディアー	d i a long
オファー	オファー	o f a long
イーオン	イーオン	i long o ng
チュチェ	チュチェ	ch u ch e
チュオン	チュオン	ch u o ng
チェジュ	チェジュ	ch e j u
エドゥー	エドゥー	e d u long
アイエー	アイエー	a i e long
うっちゃ	ウッチャ	u q ch a
ウーファ	ウーファ	u long f a
いいいっ	イイイッ	i i i q
夷	エビス	e b i s u
照	アキラ	a k i r a
鶉	ウズラ	u z u r a
転	ウタテ	u t a t e
遮	サエギ	s a e g i
諱	イミナ	i m i n a
操	アヤツ	a y a ts u
薊	アザミ	a z a m i
怠	オコタ	o k o t a
楓	カエデ	k a e d e
齢	ヨワイ	y o w a i
茨	イバラ	i b a r a
収	オサム	o s a m u
露	アラワ	a r a w a
幼	オサナ	o s a n a
燧	ヒウチ	h i u ch i
卍	マンジ	m a ng j i
揃	ソロイ	s o r o i
鱗	ウロコ	u r o k o
競	キソウ	k i s o u
与	アズカ	a z u k a
窕	ウツロ	u ts u r o
脂	アブラ	a b u r a
侮	アナド	a n a d o
洽	アマネ	a m a n e
泉	イズミ	i z u m i
庚	カノエ	k a n o e
箙	エビラ	e b i r a
栞	シオリ	sh i o r i
雛	ヒイナ	h i i n a
歪	イビツ	i b i ts u
鱇	アンコウ	a ng k o u
嵐	アラシ	a r a sh i
箒	ホウキ	h o u k i
麗	ウララ	u r a r a
掟	オキテ	o k i t e
台	ウテナ	u t e n a
漆	ウルシ	u r u sh i
鰯	イワシ	i w a sh i
榮	サカエ	s a k a e
囀	サエズ	s a e z u
偽	イツワ	i ts u w a
廿	ニジュウ	n i j u u
鵠	クグイ	k u g u i
傭	ヤトイ	y a t o i
傳	ツトウ	ts u t o u
出	イズル	i z u r u
鰌	ドジョウ	d o j o u
噂	ウワサ	u w a s a
嘲	アザケ	a z a k e
釦	ボタン	b o t a ng
疑	ウタグ	u t a g u
命	イノチ	i n o ch i
類	タグイ	t a g u i
勢	イキオイ	i k i o i
現	ウツツ	u ts u ts u
錨	イカリ	i k a r i
筏	イカダ	i k a d a
鐙	アブミ	a b u m i
煩	ウルサ	u r u s a
袿	ウチギ	u ch i g i
袷	アワセ	a w a s e
袵	オクミ	o k u m i
梢	コズエ	k o z u e
焔	ホノオ	h o n o o
表	オモテ	o m o t e
愿	スナオ	s u n a o
豕	イノコ	i n o k o
肖	アヤカ	a y a k a
勇	イサミ	i s a m i
砺	アラト	a r a t o
控	ヒカエ	h i k a e
頁	ページ	p e long j i
丙	ヒノエ	h i n o e
瘧	オコリ	o k o r i
厩	ウマヤ	u m a y a
樹	イツキ	i ts u k i
己	オノレ	o n o r e
蝗	イナゴ	i n a g o
既	スンデ	s u ng d e
繊度	センド	s e ng d o
利市	リイチ	r i i ch i
宣布	センプ	s e ng p u
雨田	アメダ	a m e d a
蔬菜	ソサイ	s o s a i
味け	アジケ	a j i k e
文吾	ブンゴ	b u ng g o
雨氷	ウヒョウ	u h y o u
泊っ	トマッ	t o m a q
利夫	トシオ	t o sh i o
御召	オメシ	o m e sh i
文司	ブンジ	b u ng j i
神授	シンジュ	sh i ng j u
宣江	ノブエ	n o b u e
文句	モンク	m o ng k u
神撫	ジンブ	j i ng b u
呪法	ジュホウ	j u h o u
御告	オツゲ	o ts u g e
呪文	ジュモン	j u m o ng
蔗糖	ショトウ	sh o t o u
雨具	アマグ	a m a g u
利刃	リジン	r i j i ng
利便	リベン	r i b e ng
文夫	フミオ	f u m i o
煉瓦	レンガ	r e ng g a
下風	カフウ	k a f u u
蔵し	ゾウシ	z o u sh i
夏央	ナツオ	n a ts u o
雨龍	ウリュウ	u r y u u
宣下	センゲ	s e ng g e
呪お	ノロオ	n o r o o
利水	リスイ	r i s u i
難路	ナンロ	n a ng r o
蔵せ	ゾウセ	z o u s e
翠蔭	スイイン	s u i i ng
味到	ミトウ	m i t o u
別記	ベッキ	b e q k i
室尾	ムロオ	m u r o o
本保	ホンボ	h o ng b o
龍飛	タッピ	t a q p i
難破	ナンパ	n a ng p a
山陰	サンイン	s a ng i ng
貴ぅ	タットゥ	t a q t u
別派	ベッパ	b e q p a
翠尾	ミスオ	m i s u o
翠子	スイコ	s u i k o
下限	カゲン	k a g e ng
気疎	ケウト	k e u t o
神増	カンゾ	k a ng z o
御大	オンタイ	o ng t a i
利益	リエキ	r i e k i
神場	カンバ	k a ng b a
翔破	ショウハ	sh o u h a
難儀	ナンギ	n a ng g i
翔子	ショウコ	sh o u k o
雪庇	セッピ	s e q p i
御中	オンチュウ	o ng ch u u
煎茶	センチャ	s e ng ch a
御室	オムロ	o m u r o
気転	キテン	k i t e ng
変種	ヘンシュ	h e ng sh u
宣し	センシ	s e ng sh i
別所	ベッショ	b e q sh o
煙ぅ	ケムゥ	k e m u u
貴子	アツコ	a ts u k o
味明	ミアケ	m i a k e
神器	ジンギ	j i ng g i
貯金	チョキン	ch o k i ng
愛育	アイイク	a i i k u
翻案	ホンアン	h o ng a ng
口伝	クデン	k u d e ng
味水	アジミ	a j i m i
神和	シンワ	sh i ng w a
御せ	ギョセ	g y o s e
貴慮	キリョ	k i r y o
本に	ホンニ	h o ng n i
貯蔵	チョゾウ	ch o z o u
離散	リサン	r i s a ng
文乃	アヤノ	a y a n o
御岳	オタケ	o t a k e
煙害	エンガイ	e ng g a i
御し	ギョシ	g y o sh i
煙村	エンソン	e ng s o ng
貯水	チョスイ	ch o s u i
習知	シュウチ	sh u u ch i
周縁	シュウエン	sh u u e ng
貴注	キチュウ	k i ch u u
得難	エガタ	e g a t a
味醂	ミリン	m i r i ng
検案	ケンアン	k e ng a ng
神保	シンボ	sh i ng b o
煙筒	エントウ	e ng t o u
艇庫	テイコ	t e i k o
岑生	ミネオ	m i n e o
到ろ	イタロ	i t a r o
神乃	ジンノ	j i ng n o
神目	コウメ	k o u m e
末谷	スエヤ	s u e y a
雑貨	ザッカ	z a q k a
判子	ハンコ	h a ng k o
判ん	ワカン	w a k a ng
御座	ギョザ	g y o z a
蕃地	バンチ	b a ng ch i
判ぜ	ハンゼ	h a ng z e
文案	ブンアン	b u ng a ng
制さ	セイサ	s e i s a
敷居	シキイ	sh i k i i
宥和	ユウワ	y u u w a
蕃社	バンシャ	b a ng sh a
宥恕	ユウジョ	y u u j o
法主	ホウシュ	h o u sh u
雑種	ザッシュ	z a q sh u
雲上	ウンジョウ	u ng j o u
煤煙	バイエン	b a i e ng
雑歌	ゾウカ	z o u k a
制野	セイノ	s e i n o
不一	フイツ	f u i ts u
貫首	カンジュ	k a ng j u
初絵	ハツエ	h a ts u e
貫目	カンメ	k a ng m e
祝意	シュクイ	sh u k u i
雲南	ウンナン	u ng n a ng
焼絵	ヤキエ	y a k i e
周布	シュウフ	sh u u f u
御徒	オカチ	o k a ch i
実車	ジッシャ	j i q sh a
下郎	ゲロウ	g e r o u
曳船	エイセン	e i s e ng
周夫	チカオ	ch i k a o
呻か	ウメカ	u m e k a
初田	ハッタ	h a q t a
初産	ウイザン	u i z a ng
不便	フベン	f u b e ng
法印	ホウイン	h o u i ng
不信	フシン	f u sh i ng
打倒	ダトウ	d a t o u
実費	ジッピ	j i q p i
蕩児	トウジ	t o u j i
焼津	ヤイヅ	y a i z u
蓮尾	ハスオ	h a s u o
岡場	オカバ	o k a b a
従者	ジュウシャ	j u u sh a
初春	ショシュン	sh o sh u ng
祝わ	イワワ	i w a w a
蕪村	ブソン	b u s o ng
祝ひ	ホガイ	h o g a i
雲斎	ウンサイ	u ng s a i
不動	フドウ	f u d o u
夕げ	ユウゲ	y u u g e
初婚	ショコン	sh o k o ng
雲泥	ウンデイ	u ng d e i
雲浜	ウンピン	u ng p i ng
初回	ショカイ	sh o k a i
愛牛	アイウシ	a i u sh i
羽音	ハオト	h a o t o
嬲っ	ナブッ	n a b u q
文目	アヤメ	a y a m e
雲舟	ウンシュウ	u ng sh u u
呑吐	ドント	d o ng t o
口座	コウザ	k o u z a
雲谷	ウノヤ	u n o y a
従事	ジュウジ	j u u j i
嫌疑	ケンギ	k e ng g i
薄き	ウスキ	u s u k i
気配	ケハイ	k e h a i
気重	キオモ	k i o m o
不在	フザイ	f u z a i
老儒	ロウジュ	r o u j u
羽蟻	ハアリ	h a a r i
列車	レッシャ	r e q sh a
嫌気	イヤキ	i y a k i
徒長	トチョウ	t o ch o u
照影	ショウエイ	sh o u e i
神韻	シンイン	sh i ng i ng
御旅	オタビ	o t a b i
が床	ガショウ	g a sh o u
下賎	ゲセン	g e s e ng
徒輩	トハイ	t o h a i
零度	レイド	r e i d o
曲っ	マガッ	m a g a q
老妓	ロウギ	r o u g i
有髪	ウハツ	u h a ts u
列せ	レッセ	r e q s e
蒼鉛	ソウエン	s o u e ng
老婆	ロウバ	r o u b a
不平	フヘイ	f u h e i
刑訴	ケイソ	k e i s o
刑務	ケイム	k e i m u
蒼社	ソウシャ	s o u sh a
祟っ	タタッ	t a t a q
雷火	ライカ	r a i k a
不念	ブネン	b u n e ng
徒名	アダナ	a d a n a
貨幣	カヘイ	k a h e i
御旗	オハタ	o h a t a
徐行	ジョコウ	j o k o u
椿井	ツバイ	ts u b a i
気前	キマエ	k i m a e
煩さ	ハンサ	h a ng s a
岡戸	オカド	o k a d o
集お	ツドオ	ts u d o o
御杉	オスギ	o s u g i
呼号	コゴウ	k o g o u
薄ま	ウスマ	u s u m a
雅馴	ガジュン	g a j u ng
電炉	デンロ	d e ng r o
文蔵	ブゾウ	b u z o u
有馬	アリマ	a r i m a
不易	フエキ	f u e k i
雅雄	マサオ	m a s a o
子分	コブン	k o b u ng
実意	ジツイ	j i ts u i
貧打	ヒンダ	h i ng d a
呼損	コソン	k o s o ng
祖宗	ソソウ	s o s o u
呼集	コシュウ	k o sh u u
貧せ	ヒンセ	h i ng s e
命ず	メイズ	m e i z u
曜日	ヨウビ	y o u b i
末美	スエミ	s u e m i
曙山	ショザン	sh o z a ng
楊井	ヤギイ	y a g i i
祓っ	ハラッ	h a r a q
薄れ	ウスレ	u s u r e
曖昧	アイマイ	a i m a i
雅兄	ガケイ	g a k e i
命運	メイウン	m e i u ng
末社	マッシャ	m a q sh a
雄飛	ユウヒ	y u u h i
咄嗟	トッサ	t o q s a
羽帯	ハオビ	h a o b i
打当	ウットウ	u q t o u
数輩	スハイ	s u h a i
数詞	スウシ	s u u sh i
需品	ジュヒン	j u h i ng
雄琴	オゴト	o g o t o
祥絵	サチエ	s a ch i e
嫌っ	キラッ	k i r a q
沼尾	ヌマオ	n u m a o
雄島	オジマ	o j i m a
不粋	ブスイ	b u s u i
削っ	ケズッ	k e z u q
焦れ	アセレ	a s e r e
も本	モホン	m o h o ng
和ん	ナゴン	n a g o ng
愛憐	アイレン	a i r e ng
和上	ワジョウ	w a j o u
曇っ	クモッ	k u m o q
売津	ウルヅ	u r u z u
楓湖	フウコ	f u u k o
前之	マエノ	m a e n o
和全	ワゼン	w a z e ng
数夫	カズオ	k a z u o
叙勲	ジョクン	j o k u ng
売手	ウリテ	u r i t e
打歩	ウチブ	u ch i b u
羽合	ハワイ	h a w a i
御玉	オダマ	o d a m a
叙任	ジョニン	j o n i ng
嫌が	イヤガ	i y a g a
鼻腔	ビコウ	b i k o u
呈せ	テイセ	t e i s e
受験	ジュケン	j u k e ng
夾ん	ハサン	h a s a ng
霊園	レイエン	r e i e ng
売女	バイタ	b a i t a
売場	ウリバ	u r i b a
受難	ジュナン	j u n a ng
暴徒	ボウト	b o u t o
子平	シヘイ	sh i h e i
受身	ウケミ	u k e m i
前古	ゼンコ	z e ng k o
愛宕	アタゴ	a t a g o
楚南	ソナン	s o n a ng
打田	ウチタ	u ch i t a
与一	ヨイチ	y o i ch i
雁皮	ガンピ	g a ng p i
与件	ヨケン	y o k e ng
与信	ヨシン	y o sh i ng
前夜	ゼンヤ	z e ng y a
暴れ	アバレ	a b a r e
雁書	ガンショ	g a ng sh o
暴こ	アバコ	a b a k o
老鋪	ロウホ	r o u h o
無風	ムフウ	m u f u u
財津	ザイツ	z a i ts u
後住	ゴジュウ	g o j u u
無題	ムダイ	m u d a i
受粉	ジュフン	j u f u ng
隼雄	ハヤオ	h a y a o
羯鼓	カッコ	k a q k o
義金	ギキン	g i k i ng
熱さ	ネッサ	n e q s a
熱っ	ホテッ	h o t e q
和本	ワホン	w a h o ng
義軍	ギグン	g i g u ng
熱れ	イキレ	i k i r e
暮風	ボフウ	b o f u u
治郎	ジロウ	j i r o u
祷ら	イノラ	i n o r a
与能	ヨノウ	y o n o u
打粉	ウチコ	u ch i k o
隣家	リンカ	r i ng k a
熱池	ニイケ	n i i k e
熱田	アツタ	a ts u t a
民音	ミンオン	m i ng o ng
船江	フナエ	f u n a e
与論	ヨロン	y o r o ng
隣保	リンポ	r i ng p o
無銘	ムメイ	m u m e i
暮鐘	ボショウ	b o sh o u
奉膳	ブンゼ	b u ng z e
熱郛	ネップ	n e q p u
薫ず	クンズ	k u ng z u
民雄	タミオ	t a m i o
考案	コウアン	k o u a ng
隠顕	インケン	i ng k e ng
隠遁	イントン	i ng t o ng
受書	ウケショ	u k e sh o
隠忍	インニン	i ng n i ng
愛吟	アイギン	a i g i ng
隠居	インキョ	i ng k y o
熾す	オコス	o k o s u
民訴	ミンソ	m i ng s o
隠坊	オンボウ	o ng b o u
受戒	ジュカイ	j u k a i
熾火	オキビ	o k i b i
後で	アトデ	a t o d e
御職	オショク	o sh o k u
貸潮	カシオ	k a sh i o
貸費	タイヒ	t a i h i
律雄	リツオ	r i ts u o
下絵	シタエ	sh i t a e
鼠入	ソイリ	s o i r i
失地	シッチ	sh i q ch i
霞ん	カスン	k a s u ng
丑田	ウシダ	u sh i d a
前歯	マエバ	m a e b a
失そ	シッソ	sh i q s o
律詩	リッシ	r i q sh i
障ん	サワン	s a w a ng
世上	セジョウ	s e j o u
世人	セジン	s e j i ng
燃油	ネンユ	n e ng y u
禁ぜ	キンゼ	k i ng z e
燃費	ネンピ	n e ng p i
律す	リッス	r i q s u
世尊	セソン	s e s o ng
宝馬	ホウマ	h o u m a
民地	ミンチ	m i ng ch i
義方	ギホウ	g i h o u
際せ	サイセ	s a i s e
御苑	ギョエン	g y o e ng
藉口	シャコウ	sh a k o u
霧散	ムサン	m u s a ng
義挙	ギキョ	g i k y o
藍色	アイイロ	a i i r o
燕一	エンイチ	e ng i ch i
随鴎	ズイオウ	z u i o u
随時	ズイジ	z u i j i
敬和	ケイワ	k e i w a
分目	フンメ	f u ng m e
鼎坐	テイザ	t e i z a
前目	マエメ	m a e m e
暗鬱	アンウツ	a ng u ts u
藤和	トウワ	t o u w a
貼付	チョウフ	ch o u f u
岩出	イワデ	i w a d e
分布	ブンプ	b u ng p u
社線	シャセン	sh a s e ng
民主	ミンシュ	m i ng sh u
害さ	ガイサ	g a i s a
害し	ガイシ	g a i sh i
露天	ロテン	r o t e ng
禁固	キンコ	k i ng k o
燻さ	イブサ	i b u s a
燻し	イブシ	i b u sh i
扮し	フンシ	f u ng sh i
扮す	フンス	f u ng s u
宵寝	ヨイネ	y o i n e
燻れ	イブレ	i b u r e
宵田	ヨイダ	y o i d a
本屋	ホンヤ	h o ng y a
社屋	シャオク	sh a o k u
和習	ワシュウ	w a sh u u
法華	ホッケ	h o q k e
世襲	セシュウ	s e sh u u
暗算	アンザン	a ng z a ng
露悪	ロアク	r o a k u
露盤	ロバン	r o b a ng
世間	セケン	s e k e ng
社団	シャダン	sh a d a ng
才見	サイミ	s a i m i
和製	ワセイ	w a s e i
批准	ヒジュン	h i j u ng
家中	イエジュウ	i e j u u
批判	ヒハン	h i h a ng
御門	ゴモン	g o m o ng
蘋園	ヒンエン	h i ng e ng
社友	シャユウ	sh a y u u
岩子	イワコ	i w a k o
蘭奢	ランジャ	r a ng j a
技芸	ギゲイ	g i g e i
才羽	サイバ	s a i b a
耐子	タエコ	t a e k o
虎夫	トラオ	t o r a o
剛夫	タケオ	t a k e o
禁輸	キンユ	k i ng y u
太間	タイマ	t a i m a
社内	シャナイ	sh a n a i
葦辺	アシベ	a sh i b e
険所	ケンショ	k e ng sh o
往郷	オウゴウ	o u g o u
陸雄	ムツオ	m u ts u o
出資	シュッシ	sh u q sh i
出荷	シュッカ	sh u q k a
往歳	オウサイ	o u s a i
出花	イデカ	i d e k a
禅味	ゼンミ	z e ng m i
家奥	イエオク	i e o k u
毬絵	マリエ	m a r i e
陸湯	オカユ	o k a y u
出羽	イズハ	i z u h a
契印	ケイイン	k e i i ng
本手	ホンテ	h o ng t e
太郎	タロウ	t a r o u
陶砂	ドウサ	d o u s a
手順	テジュン	t e j u ng
陳謝	チンシャ	ch i ng sh a
虎魚	オコゼ	o k o z e
虐め	イジメ	i j i m e
陰陽	インヨウ	i ng y o u
出番	デバン	d e b a ng
御髪	オグシ	o g u sh i
子犬	コイヌ	k o i n u
出湯	イデユ	i d e y u
出海	デウミ	d e u m i
貞雄	サダオ	s a d a o
青岡	アオオカ	a o o k a
青岩	アオイワ	a o i w a
虚字	キョジ	k y o j i
群舞	グンブ	g u ng b u
奠都	テント	t e ng t o
陰惨	インサン	i ng s a ng
礼文	レブン	r e b u ng
斗煥	ドファン	d o f a ng
抉ら	エグラ	e g u r a
出様	デヨウ	d e y o u
奢ら	オゴラ	o g o r a
嫁い	トツイ	t o ts u i
椎野	シイノ	sh i i n o
礼奈	レイナ	r e i n a
礼受	レウケ	r e u k e
椎谷	シイヤ	sh i i y a
毟っ	ムシッ	m u sh i q
山王	サンオウ	s a ng o u
下相	オリアイ	o r i a i
椎津	シイヅ	sh i i z u
把手	トッテ	t o q t e
家紋	カモン	k a m o ng
外侮	ガイブ	g a i b u
出府	シュップ	sh u q p u
黙ん	ダマン	d a m a ng
礒田	イソダ	i s o d a
役務	エキム	e k i m u
賛美	サンビ	s a ng b i
毛裏	ケウラ	k e u r a
青石	アオイシ	a o i sh i
家賃	ヤチン	y a ch i ng
賜う	タマウ	t a m a u
著名	チョメイ	ch o m e i
毛穴	ケアナ	k e a n a
除数	ジョスウ	j o s u u
循子	ジュンコ	j u ng k o
役せ	エキセ	e k i s e
除去	ジョキョ	j o k y o
磯部	イソベ	i s o b e
業苦	ゴウク	g o u k u
水巴	スイハ	s u i h a
下男	ゲナン	g e n a ng
末木	ウラキ	u r a k i
宛字	アテジ	a t e j i
貞婦	テイフ	t e i f u
青苗	アオナエ	a o n a e
末期	マッキ	m a q k i
除い	ノゾイ	n o z o i
出世	シュッセ	sh u q s e
毛唐	ケトウ	k e t o u
蛇体	ジャタイ	j a t a i
影像	エイゾウ	e i z o u
磯津	イソヅ	i s o z u
無勢	ブゼイ	b u z e i
咲織	サオリ	s a o r i
蛇池	ジャイケ	j a i k e
奥乃	オクノ	o k u n o
並居	ナミイ	n a m i i
楳津	ウメツ	u m e ts u
斡旋	アッセン	a q s e ng
微減	ビゲン	b i g e ng
著う	シルウ	sh i r u u
治勲	チクン	ch i k u ng
磯子	イソゴ	i s o g o
凹版	オウハン	o u h a ng
凹ん	ヘコン	h e k o ng
福生	フッサ	f u q s a
治乱	チラン	ch i r a ng
並置	ヘイチ	h e i ch i
波動	ハドウ	h a d o u
有野	アリノ	a r i n o
耽っ	フケッ	f u k e q
水江	ミズエ	m i z u e
微粉	ビフン	b i f u ng
院内	インナイ	i ng n a i
微細	ビサイ	b i s a i
抓っ	ツネッ	ts u n e q
宿っ	ヤドッ	y a d o q
外夫	ソトオ	s o t o o
山根	サンネ	s a ng n e
彩雲	サイウン	s a i u ng
凡打	ボンダ	b o ng d a
暖簾	ノレン	n o r e ng
凡手	ボンシュ	b o ng sh u
外宮	ゲクウ	g e k u u
凡そ	オヨソ	o y o s o
外尾	ソデオ	s o d e o
聖油	セイユ	s e i y u
落魚	オチウオ	o ch i u o
凍る	コオル	k o o r u
片雲	ヘンウン	h e ng u ng
中万	チュウマ	ch u u m a
愚鈍	グドン	g u d o ng
美談	ビダン	b i d a ng
落部	オチベ	o ch i b e
聘す	ヘイス	h e i s u
形影	ケイエイ	k e i e i
治し	ナオシ	n a o sh i
投ず	トウズ	t o u z u
凌い	シノイ	sh i n o i
投与	トウヨ	t o u y o
有路	アリジ	a r i j i
焙炉	ホイロ	h o i r o
植苗	ウエナエ	u e n a e
禾津	イナツ	i n a ts u
凄ん	スゴン	s u g o ng
手製	テセイ	t e s e i
奥屋	オクヤ	o k u y a
秀也	シュウヤ	sh u u y a
当部	トウベ	t o u b e
愚民	グミン	g u m i ng
航路	コウロ	k o u r o
牛久	ウシク	u sh i k u
力夫	リキオ	r i k i o
手薄	テウス	t e u s u
阿鉄	アテツ	a t e ts u
奥州	オウシュウ	o u sh u u
阿達	アダチ	a d a ch i
水腫	スイシュ	s u i sh u
員弁	イナベ	i n a b e
員数	インズウ	i ng z u u
油送	ユソウ	y u s o u
非人	ヒニン	h i n i ng
手芸	シュゲイ	sh u g e i
阿漕	アコギ	a k o g i
非凡	ヒボン	h i b o ng
下水	ゲスイ	g e s u i
極意	ゴクイ	g o k u i
中呂	チュウロ	ch u u r o
破片	ハヘン	h a h e ng
加え	クワエ	k u w a e
冲せ	チュウセ	ch u u s e
冬衛	フユエ	f u y u e
破ん	ヤブン	y a b u ng
哲太	テッタ	t e q t a
落田	オチダ	o ch i d a
婚期	コンキ	k o ng k i
士寸	シスン	sh i s u ng
投網	トアミ	t o a m i
豚舎	トンシャ	t o ng sh a
徹し	テッシ	t e q sh i
本譜	ホンプ	h o ng p u
断種	ダンシュ	d a ng sh u
阿品	アジナ	a j i n a
阿原	アハラ	a h a r a
冨江	トミエ	t o m i e
植房	ウエボウ	u e b o u
面ば	メンバ	m e ng b a
植岡	ウエオカ	u e o k a
螺鈿	ラデン	r a d e ng
徹ら	トオラ	t o o r a
赤屋	アカヤ	a k a y a
未満	ミマン	m i m a ng
泥ん	ナズン	n a z u ng
落地	オロチ	o r o ch i
油池	ユイケ	y u i k e
愚か	オロカ	o r o k a
美潮	ミシオ	m i sh i o
防音	ボウオン	b o u o ng
赤毛	アカゲ	a k a g e
写せ	ウツセ	u ts u s e
植大	ウエダイ	u e d a i
面河	オモゴ	o m o g o
油断	ユダン	y u d a ng
唄わ	ウタワ	u t a w a
冗費	ジョウヒ	j o u h i
書林	ショリン	sh o r i ng
墳墓	フンボ	f u ng b o
墨絵	スミエ	s u m i e
手相	テソウ	t e s o u
彌蔵	ヤゾウ	y a z o u
油圧	ユアツ	y u a ts u
点者	テンジャ	t e ng j a
赤部	アカブ	a k a b u
美景	ビケイ	b i k e i
円陣	エンジン	e ng j i ng
円錐	エンスイ	e ng s u i
水鶏	クイナ	k u i n a
新出	シンデ	sh i ng d e
岱野	タイノ	t a i n o
円融	エンユウ	e ng y u u
墜死	ツイシ	ts u i sh i
聯句	レンク	r e ng k u
石鏡	イジカ	i j i k a
石野	イシノ	i sh i n o
円盤	エンバン	e ng b a ng
閲兵	エッペイ	e q p e i
石賀	イシガ	i sh i g a
手桶	テオケ	t e o k e
智謀	チボウ	ch i b o u
手本	テホン	t e h o ng
手斧	チョウナ	ch o u n a
点ぜ	テンゼ	t e ng z e
下戸	オリト	o r i t o
比内	ヒナイ	h i n a i
敗訴	ハイソ	h a i s o
円う	マルウ	m a r u u
内需	ナイジュ	n a i j u
聳え	ソビエ	s o b i e
血膿	チウミ	ch i u m i
秋津	アキツ	a k i ts u
弾い	ハジイ	h a j i i
石瀬	イシゼ	i sh i z e
新多	ニイダ	n i i d a
音域	オンイキ	o ng i k i
炭素	タンソ	t a ng s o
内記	ナイキ	n a i k i
折出	オリデ	o r i d e
音水	オンズイ	o ng z u i
物故	ブッコ	b u q k o
音田	オトダ	o t o d a
内瀬	ナイゼ	n a i z e
衆生	シュジョウ	sh u j o u
手打	テウチ	t e u ch i
新実	ニイミ	n i i m i
科挙	カキョ	k a k y o
音訓	オンクン	o ng k u ng
谷茶	タンチャ	t a ng ch a
娶ん	メトン	m e t o ng
音部	オトベ	o t o b e
内帑	ナイド	n a i d o
太宰	ダザイ	d a z a i
手当	テアテ	t e a t e
閔妃	ビンビ	b i ng b i
内出	ウチデ	u ch i d e
劣位	レツイ	r e ts u i
寄居	ヨリイ	y o r i i
秘露	ペルー	p e r u long
唯美	ユイビ	y u i b i
兼雄	カネオ	k a n e o
租税	ソゼイ	s o z e i
谷江	タニエ	t a n i e
順守	ジュンシュ	j u ng sh u
矩形	クケイ	k u k e i
唸ろ	ウナロ	u n a r o
炬火	キョカ	k y o k a
救お	スクオ	s u k u o
手垢	テアカ	t e a k a
色合	イロアイ	i r o a i
須天	スアマ	s u a m a
